city,lat,lng
Jerusalem,31.7833,35.2167
Tel Aviv-Yafo,32.08,34.78
Haifa,32.8,34.9833
Rishon LeẔiyyon,31.95,34.8
Petaẖ Tiqwa,32.0833,34.8833
Ashdod,31.7978,34.6503
Netanya,32.3328,34.86
Beersheba,31.2589,34.7978
Bené Beraq,32.0807,34.8338
Holon,32.0167,34.7667
Ramat Gan,32.07,34.8235
Ashqelon,31.6658,34.5664
Reẖovot,31.8914,34.8078
Bat Yam,32.0231,34.7503
Bet Shemesh,31.7514,34.9886
Kefar Sava,32.1858,34.9077
Herẕliyya,32.1556,34.8422
Hadera,32.45,34.9167
Modi‘in Makkabbim Re‘ut,31.9339,34.9856
Nazareth,32.7021,35.2978
Lod,31.95,34.9
Ramla,31.9318,34.8736
Ra‘ananna,32.1833,34.8667
Rahat,31.3925,34.7544
Nahariyya,33.0036,35.0925
Givatayim,32.0697,34.8117
Hod HaSharon,32.15,34.8833
Rosh Ha‘Ayin,32.0833,34.95
Qiryat Ata,32.8,35.1
Umm el Faḥm,32.5158,35.1525
Qiryat Gat,31.6061,34.7717
Eilat,29.55,34.95
Nes Ẕiyyona,31.9333,34.8
‘Akko,32.9261,35.0839
El‘ad,32.0523,34.9512
Ramat HaSharon,32.1461,34.8394
Karmiel,32.9,35.2833
Afula,32.6078,35.2897
Tiberias,32.7897,35.5247
Eṭ Ṭaiyiba,32.2667,35
Qiryat Yam,32.8331,35.0664
Qiryat Moẕqin,32.8381,35.0794
Qiryat Bialik,32.8331,35.0664
Qiryat Ono,32.0636,34.8553
Or Yehuda,32.0333,34.85
Ma‘alot Tarshīḥā,33.0167,35.2708
Ẕefat,32.9658,35.4983
Dimona,31.07,35.03
Tamra,32.8511,35.2071
Netivot,31.4167,34.5833
Sakhnīn,32.8667,35.3
Yehud,32.0333,34.8833
Al Buţayḩah,32.9087,35.632
Al Khushnīyah,32.9994,35.8108
Fīq,32.7793,35.7003
