Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
01/01/2017,287974,266985,261817,259146,327629,465044,634896,597211,480271,389030,299660,300162,285301,270177,273694,315563,599464,966625,1049735,1032255,1031405,869340,666892,496301
02/01/2017,371677,356780,354723,353876,418387,552961,715518,686969,630350,536323,442414,431084,406039,392428,387905,422460,672544,950738,1006783,979996,969159,808384,607662,440911
03/01/2017,359439,338831,332969,333594,404649,549154,730642,704757,643244,544178,438371,430080,405838,394612,389146,430105,739449,1031824,1090624,1063330,1055858,883977,664896,482197
04/01/2017,374853,357060,354512,355980,430336,582923,773868,745332,675313,574471,464499,447065,417942,400751,388736,426405,732435,1038897,1100080,1072946,1063247,884584,659073,473755
05/01/2017,388858,370833,366628,366688,446474,612722,816651,779689,725335,607903,489245,475877,436548,415275,405477,445304,750037,1102821,1174978,1146681,1137727,943769,698255,488106
06/01/2017,368392,347622,341984,342863,419543,583401,794972,754728,700530,578465,456889,448016,416722,408015,404978,452474,763461,1119755,1192300,1160761,1145630,937549,679275,462804
07/01/2017,311531,292928,281874,274129,348376,502274,689302,632688,512074,405670,300510,295945,281348,267075,266687,309584,593459,998712,1079442,1048928,1037587,854769,625594,427463
08/01/2017,287974,266985,261817,259146,327629,465044,634896,597211,480271,389030,299660,300162,285301,270177,273694,315563,599464,966625,1049735,1032255,1031405,869340,666892,496301
09/01/2017,371677,356780,354723,353876,418387,552961,715518,686969,630350,536323,442414,431084,406039,392428,387905,422460,672544,950738,1006783,979996,969159,808384,607662,440911
10/01/2017,359439,338831,332969,333594,404649,549154,730642,704757,643244,544178,438371,430080,405838,394612,389146,430105,739449,1031824,1090624,1063330,1055858,883977,664896,482197
11/01/2017,374853,357060,354512,355980,430336,582923,773868,745332,675313,574471,464499,447065,417942,400751,388736,426405,732435,1038897,1100080,1072946,1063247,884584,659073,473755
12/01/2017,388858,370833,366628,366688,446474,612722,816651,779689,725335,607903,489245,475877,436548,415275,405477,445304,750037,1102821,1174978,1146681,1137727,943769,698255,488106
13/01/2017,368392,347622,341984,342863,419543,583401,794972,754728,700530,578465,456889,448016,416722,408015,404978,452474,763461,1119755,1192300,1160761,1145630,937549,679275,462804
14/01/2017,311531,292928,281874,274129,348376,502274,689302,632688,512074,405670,300510,295945,281348,267075,266687,309584,593459,998712,1079442,1048928,1037587,854769,625594,427463
15/01/2017,287974,266985,261817,259146,327629,465044,634896,597211,480271,389030,299660,300162,285301,270177,273694,315563,599464,966625,1049735,1032255,1031405,869340,666892,496301
16/01/2017,371677,356780,354723,353876,418387,552961,715518,686969,630350,536323,442414,431084,406039,392428,387905,422460,672544,950738,1006783,979996,969159,808384,607662,440911
17/01/2017,359439,338831,332969,333594,404649,549154,730642,704757,643244,544178,438371,430080,405838,394612,389146,430105,739449,1031824,1090624,1063330,1055858,883977,664896,482197
18/01/2017,374853,357060,354512,355980,430336,582923,773868,745332,675313,574471,464499,447065,417942,400751,388736,426405,732435,1038897,1100080,1072946,1063247,884584,659073,473755
19/01/2017,388858,370833,366628,366688,446474,612722,816651,779689,725335,607903,489245,475877,436548,415275,405477,445304,750037,1102821,1174978,1146681,1137727,943769,698255,488106
20/01/2017,368392,347622,341984,342863,419543,583401,794972,754728,700530,578465,456889,448016,416722,408015,404978,452474,763461,1119755,1192300,1160761,1145630,937549,679275,462804
21/01/2017,311531,292928,281874,274129,348376,502274,689302,632688,512074,405670,300510,295945,281348,267075,266687,309584,593459,998712,1079442,1048928,1037587,854769,625594,427463
22/01/2017,287974,266985,261817,259146,327629,465044,634896,597211,480271,389030,299660,300162,285301,270177,273694,315563,599464,966625,1049735,1032255,1031405,869340,666892,496301
23/01/2017,371677,356780,354723,353876,418387,552961,715518,686969,630350,536323,442414,431084,406039,392428,387905,422460,672544,950738,1006783,979996,969159,808384,607662,440911
24/01/2017,359439,338831,332969,333594,404649,549154,730642,704757,643244,544178,438371,430080,405838,394612,389146,430105,739449,1031824,1090624,1063330,1055858,883977,664896,482197
25/01/2017,374853,357060,354512,355980,430336,582923,773868,745332,675313,574471,464499,447065,417942,400751,388736,426405,732435,1038897,1100080,1072946,1063247,884584,659073,473755
26/01/2017,388858,370833,366628,366688,446474,612722,816651,779689,725335,607903,489245,475877,436548,415275,405477,445304,750037,1102821,1174978,1146681,1137727,943769,698255,488106
27/01/2017,368392,347622,341984,342863,419543,583401,794972,754728,700530,578465,456889,448016,416722,408015,404978,452474,763461,1119755,1192300,1160761,1145630,937549,679275,462804
28/01/2017,311531,292928,281874,274129,348376,502274,689302,632688,512074,405670,300510,295945,281348,267075,266687,309584,593459,998712,1079442,1048928,1037587,854769,625594,427463
29/01/2017,287974,266985,261817,259146,327629,465044,634896,597211,480271,389030,299660,300162,285301,270177,273694,315563,599464,966625,1049735,1032255,1031405,869340,666892,496301
30/01/2017,371677,356780,354723,353876,418387,552961,715518,686969,630350,536323,442414,431084,406039,392428,387905,422460,672544,950738,1006783,979996,969159,808384,607662,440911
31/01/2017,359439,338831,332969,333594,404649,549154,730642,704757,643244,544178,438371,430080,405838,394612,389146,430105,739449,1031824,1090624,1063330,1055858,883977,664896,482197
01/02/2017,363914,350085,348058,350024,422400,572133,732352,665069,649924,547050,434195,422253,395322,379335,367590,402985,645615,969887,1088350,1061265,1052875,875024,647759,461505
02/02/2017,366775,352070,350135,351887,431350,594185,770823,693023,700725,586634,468760,453697,420509,404446,398381,443628,676184,1021190,1151664,1122756,1115817,926666,684324,481961
03/02/2017,357709,339229,334731,335285,410603,566861,734957,660365,682914,578687,475397,468966,441086,427605,420359,459058,681717,1006233,1135334,1098219,1085119,890015,647919,445466
04/02/2017,314661,296653,290525,286933,359766,510474,666367,565005,514410,407666,299501,291227,270941,248810,241747,280831,501461,891682,1050114,1023474,1013929,833115,602741,406075
05/02/2017,287859,268590,263009,259531,331530,480926,634269,536607,485893,379176,274563,271871,257052,239821,240206,287103,511567,893652,1062631,1039106,1034180,856458,631592,439183
06/02/2017,317082,299675,295198,293745,365894,516962,651091,601427,615993,519160,417958,411037,383610,369381,365715,404437,615537,924777,1069207,1039211,1029074,851779,623286,431839
07/02/2017,323015,304322,299841,299966,375927,532343,673969,626624,625688,522379,416552,412146,387910,376381,367993,405470,655505,954118,1115232,1087640,1079493,897832,664930,472780
08/02/2017,363914,350085,348058,350024,422400,572133,732352,665069,649924,547050,434195,422253,395322,379335,367590,402985,645615,969887,1088350,1061265,1052875,875024,647759,461505
09/02/2017,366775,352070,350135,351887,431350,594185,770823,693023,700725,586634,468760,453697,420509,404446,398381,443628,676184,1021190,1151664,1122756,1115817,926666,684324,481961
10/02/2017,357709,339229,334731,335285,410603,566861,734957,660365,682914,578687,475397,468966,441086,427605,420359,459058,681717,1006233,1135334,1098219,1085119,890015,647919,445466
11/02/2017,314661,296653,290525,286933,359766,510474,666367,565005,514410,407666,299501,291227,270941,248810,241747,280831,501461,891682,1050114,1023474,1013929,833115,602741,406075
12/02/2017,287859,268590,263009,259531,331530,480926,634269,536607,485893,379176,274563,271871,257052,239821,240206,287103,511567,893652,1062631,1039106,1034180,856458,631592,439183
13/02/2017,317082,299675,295198,293745,365894,516962,651091,601427,615993,519160,417958,411037,383610,369381,365715,404437,615537,924777,1069207,1039211,1029074,851779,623286,431839
14/02/2017,323015,304322,299841,299966,375927,532343,673969,626624,625688,522379,416552,412146,387910,376381,367993,405470,655505,954118,1115232,1087640,1079493,897832,664930,472780
15/02/2017,363914,350085,348058,350024,422400,572133,732352,665069,649924,547050,434195,422253,395322,379335,367590,402985,645615,969887,1088350,1061265,1052875,875024,647759,461505
16/02/2017,366775,352070,350135,351887,431350,594185,770823,693023,700725,586634,468760,453697,420509,404446,398381,443628,676184,1021190,1151664,1122756,1115817,926666,684324,481961
17/02/2017,357709,339229,334731,335285,410603,566861,734957,660365,682914,578687,475397,468966,441086,427605,420359,459058,681717,1006233,1135334,1098219,1085119,890015,647919,445466
18/02/2017,314661,296653,290525,286933,359766,510474,666367,565005,514410,407666,299501,291227,270941,248810,241747,280831,501461,891682,1050114,1023474,1013929,833115,602741,406075
19/02/2017,287859,268590,263009,259531,331530,480926,634269,536607,485893,379176,274563,271871,257052,239821,240206,287103,511567,893652,1062631,1039106,1034180,856458,631592,439183
20/02/2017,317082,299675,295198,293745,365894,516962,651091,601427,615993,519160,417958,411037,383610,369381,365715,404437,615537,924777,1069207,1039211,1029074,851779,623286,431839
