time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0009,0.0,0.0,0.0,10.17,4.03,0.0
20160101:0109,0.0,0.0,0.0,9.87,4.29,0.0
20160101:0209,0.0,0.0,0.0,9.56,4.56,0.0
20160101:0309,0.0,0.0,0.0,9.26,4.83,0.0
20160101:0409,0.0,0.0,0.0,9.28,4.86,0.0
20160101:0509,0.0,0.0,0.0,9.3,4.89,0.0
20160101:0609,32.44,143.18,12.74,9.31,4.92,0.0
20160101:0709,242.78,995.74,22.48,10.17,5.74,0.0
20160101:0809,190.72,761.82,30.32,11.02,6.56,0.0
20160101:0909,17.37,83.11,35.42,11.88,7.38,0.0
20160101:1009,14.59,72.28,36.97,12.24,7.68,0.0
20160101:1109,31.2,136.49,34.68,12.6,7.98,0.0
20160101:1209,60.6,247.94,28.98,12.96,8.28,0.0
20160101:1309,212.78,862.39,20.71,12.12,7.83,0.0
20160101:1409,72.76,303.91,10.69,11.27,7.39,0.0
20160101:1509,0.0,0.0,0.0,10.43,6.95,0.0
20160101:1609,0.0,0.0,0.0,9.74,6.27,0.0
20160101:1709,0.0,0.0,0.0,9.05,5.58,0.0
20160101:1809,0.0,0.0,0.0,8.36,4.9,0.0
20160101:1909,0.0,0.0,0.0,7.86,4.47,0.0
20160101:2009,0.0,0.0,0.0,7.37,4.04,0.0
20160101:2109,0.0,0.0,0.0,6.87,3.61,0.0
20160101:2209,0.0,0.0,0.0,6.62,3.48,0.0
20160101:2309,0.0,0.0,0.0,6.38,3.34,0.0
20160102:0009,0.0,0.0,0.0,6.13,3.2,0.0
20160102:0109,0.0,0.0,0.0,5.94,3.11,0.0
20160102:0209,0.0,0.0,0.0,5.76,3.02,0.0
20160102:0309,0.0,0.0,0.0,5.57,2.92,0.0
20160102:0409,0.0,0.0,0.0,5.63,2.9,0.0
20160102:0509,0.0,0.0,0.0,5.69,2.88,0.0
20160102:0609,101.19,405.56,12.72,5.74,2.86,0.0
20160102:0709,126.47,498.62,22.48,7.27,3.07,0.0
