time,P,G(i),H_sun,T2m,WS10m,Int
20160101:0009,0.0,0.0,0.0,7.73,7.39,0.0
20160101:0109,0.0,0.0,0.0,7.62,7.46,0.0
20160101:0209,0.0,0.0,0.0,7.52,7.52,0.0
20160101:0309,0.0,0.0,0.0,7.41,7.59,0.0
20160101:0409,0.0,0.0,0.0,7.46,8.23,0.0
20160101:0509,0.0,0.91,4.12,7.51,8.86,0.0
20160101:0609,7.83,45.32,14.39,7.56,9.5,0.0
20160101:0709,69.74,278.18,23.19,8.54,9.54,0.0
20160101:0809,9.42,50.91,29.85,9.53,9.58,0.0
20160101:0909,225.58,895.21,33.6,10.51,9.61,0.0
20160101:1009,0.0,0.0,0.0,10.47,9.36,0.0
20160101:1109,3.17,23.73,30.54,10.44,9.1,0.0
20160101:1209,4.06,27.98,24.22,10.41,8.84,0.0
20160101:1309,1.03,12.7,15.66,9.33,8.06,0.0
20160101:1409,0.0,0.0,0.0,8.25,7.28,0.0
20160101:1509,0.0,0.0,0.0,7.17,6.5,0.0
20160101:1609,0.0,0.0,0.0,6.71,6.17,0.0
20160101:1709,0.0,0.0,0.0,6.25,5.85,0.0
20160101:1809,0.0,0.0,0.0,5.79,5.53,0.0
20160101:1909,0.0,0.0,0.0,5.62,5.56,0.0
20160101:2009,0.0,0.0,0.0,5.46,5.6,0.0
20160101:2109,0.0,0.0,0.0,5.29,5.63,0.0
20160101:2209,0.0,0.0,0.0,5.33,5.62,0.0
20160101:2309,0.0,0.0,0.0,5.37,5.61,0.0
20160102:0009,0.0,0.0,0.0,5.41,5.6,0.0
20160102:0109,0.0,0.0,0.0,5.36,5.53,0.0
20160102:0209,0.0,0.0,0.0,5.32,5.46,0.0
20160102:0309,0.0,0.0,0.0,5.27,5.39,0.0
20160102:0409,0.0,0.0,0.0,5.8,5.41,0.0
20160102:0509,0.0,0.0,0.0,6.33,5.43,0.0
20160102:0609,0.0,0.0,0.0,6.85,5.45,0.0
20160102:0709,94.04,370.12,23.2,7.86,5.73,0.0
20160102:0809,150.09,589.22,29.89,8.87,6.02,0.0
20160102:0909,150.17,587.48,33.67,9.88,6.3,0.0
20160102:1009,0.64,10.21,33.94,9.93,6.17,0.0
20160102:1109,6.1,36.94,30.65,9.98,6.04,0.0
20160102:1209,0.0,2.78,24.34,10.04,5.9,0.0
